"Path","HasComment","HasHeader","Functions","DocumentedFunctions","GitCreated","GitModified"
"D:/project/portfoliio/src/apps/vscode-lite/utils/fileIcons.tsx","True","False","1","0","2026-02-13T14:51:21+08:00","2026-02-13T14:51:21+08:00"
"D:/project/portfoliio/src/apps/vscode-lite/utils/formatter.ts","True","True","3","3","2026-02-13T15:31:46+08:00","2026-02-26T15:26:04+08:00"
"D:/project/portfoliio/src/apps/vscode-lite/utils/monacoLoader.ts","True","False","5","5","2026-02-13T16:09:26+08:00","2026-02-13T16:09:26+08:00"
"D:/project/portfoliio/src/apps/vscode-lite/constants.ts","False","False","0","0","2026-02-13T10:49:42+08:00","2026-02-13T10:49:42+08:00"
"D:/project/portfoliio/src/apps/vscode-lite/index.tsx","True","True","3","3","2026-02-09T16:41:14+08:00","2026-02-26T15:26:04+08:00"
"D:/project/portfoliio/src/apps/vscode-lite/manifest.tsx","True","False","0","0","2026-02-09T16:41:14+08:00","2026-02-13T14:51:21+08:00"
"D:/project/portfoliio/src/apps/weather/components/BentoCard.tsx","False","False","1","0","2026-02-10T23:47:53+08:00","2026-02-10T23:47:53+08:00"
"D:/project/portfoliio/src/apps/weather/components/HourlyChart.tsx","True","False","6","0","2026-02-10T23:47:53+08:00","2026-02-11T00:08:48+08:00"
"D:/project/portfoliio/src/apps/weather/components/RainCanvas.tsx","True","False","8","0","2026-02-10T23:47:53+08:00","2026-02-26T13:10:29+08:00"
"D:/project/portfoliio/src/apps/weather/components/WeatherBackground.tsx","True","False","10","0","2026-02-10T23:47:53+08:00","2026-02-10T23:47:53+08:00"
"D:/project/portfoliio/src/apps/weather/components/WindDirection.tsx","True","False","2","0","2026-02-10T23:47:53+08:00","2026-02-10T23:47:53+08:00"
"D:/project/portfoliio/src/apps/weather/utils/cache.ts","False","False","1","0","2026-02-10T23:47:53+08:00","2026-02-24T12:00:04+08:00"
"D:/project/portfoliio/src/apps/weather/utils/types.ts","True","False","4","0","2026-02-10T23:47:53+08:00","2026-02-10T23:47:53+08:00"
"D:/project/portfoliio/src/apps/weather/index.tsx","True","False","6","0","2026-02-10T18:39:17+08:00","2026-02-24T18:56:24+08:00"
"D:/project/portfoliio/src/apps/weather/manifest.tsx","True","False","0","0","2026-02-10T18:39:17+08:00","2026-02-13T10:49:42+08:00"
"D:/project/portfoliio/src/apps/yume/index.tsx","True","False","1","0","2026-02-19T22:18:18+08:00","2026-02-19T22:18:18+08:00"
"D:/project/portfoliio/src/apps/yume/manifest.tsx","True","False","0","0","2026-02-19T22:18:18+08:00","2026-02-27T17:45:58+08:00"
"D:/project/portfoliio/src/components/canvas/materials/HolographicMaterial.tsx","True","False","1","0","2026-02-05T17:02:35+08:00","2026-02-05T17:02:35+08:00"
"D:/project/portfoliio/src/components/canvas/ProjectStage.tsx","True","False","2","0","2026-02-05T17:02:35+08:00","2026-02-26T13:10:29+08:00"
